,ID,CourseID,Title,Awarding_Body,School,Credit,skills,Awarding_Body_Short,Course_Area,Course_Area_ID,Awarding_Body_Type
96,97,NU5098,National Foundation Module in Critical Care Nursing    ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
97,98,NU6005,Evidence Based Practice for Healthcare Professionals   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
98,99,NU6078,Aging and Older People: Bio Psychosocial Perspectives Aging and Older People: Comprehensive Assessment and Management  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
99,100,NU6116,Advanced Nursing Practice  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
100,101,NU6125,Professional Practice Issues for Nurses and Midwives  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
101,102,NU6145,Foundations of Cancer Care   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
102,103,NU6150,Nursing Management of Neonates   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
103,104,NU6167,Maternity Critical Care,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
104,105,NU6303,Advancing Practice for Patient Safety  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
105,106,NU6304,Advanced Research Methods Applied to Healthcare  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
106,107,NU6306,Clinical Leadership for Nursing and Healthcare Quality Improvement  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
107,108,NU6307,Contemporary Issues and Quality Improvement in Gerontological Nursing ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
108,109,NU6313,Digital Healthcare ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
109,110,NU6171,Principles in Critical Care Nursing ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
110,111,NU6173,Psychosocial and Recovery-focused Interventions in Specialist Mental Health Nursing Practice ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
111,112,NU6169,Prescriptive Authority for Ionising Radiation ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
112,113,MH6014,Advanced Research Methods for Healthcare Professionals    ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
113,114,MH6016,Advance Care Planning ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
114,115,MH6029,Decision Making and Advanced Practice Professional Roles ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
115,116,MH6030,"Leadership, Quality Improvement and Governance for Advanced Clinical Practice ",University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
116,117,NU5007,Acute and Chronic Wound Care   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
117,118,NU5082,Physical Assessment for Nursing Practice     ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
118,119,NU5098,National Foundation Module in Critical Care Nursing    ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
119,120,NU6070,Clinical Leadership in Practice Enhancement for Nursing and Midwifery    ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
120,121,NU6079,Promoting Positive Ageing and Planning for End of Life  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
121,122,NU6080,"Leadership, Management & Practice Development in Specialist Mental Health Nursing Practice ",University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
122,123,NU6085,Wound Care for Healthcare Professionals   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
123,124,NU6117,"Contemporary Approaches to Neurological, Cognitive and Mental Health in Later Life   ",University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
124,125,NU6152,Medical and Surgical Nursing of Individuals with Cardiorespiratory Problems   ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
125,126,NU6153,Preparation for Birth and Parenthood Education Facilitation ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
126,127,NU6158,Evidence Based Cervical Screening ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
127,128,NU6174,Transitioning into the Role of the Clinical Nurse/Midwife Manager ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
128,129,NU6302,Practice Enhancement for Quality Nursing and Healthcare  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
129,130,NU6310,Evidence Based Practice for Quality Improvement in Healthcare  ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
130,131,NU6312,Contemporary Issues in Healthcare ,University College Cork,School of Nursing and Midwifery,Yes,,UCC,Healthcare / Medical / Nursing,9,University
131,132,PF6001,Biostatistics & Critical Appraisal    ,University College Cork,School of Pharmacy,Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
132,133,PF6005,Pharmacoeconomics ,University College Cork,School of Pharmacy,Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
133,134,PF6007,Pharmacotherapy III ,University College Cork,School of Pharmacy,Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
134,135,PF6010,"Pharmacology, Therapeutics & Rational Drug Use",University College Cork,School of Pharmacy,Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
135,136,EH6140,Environmental Health: Principal Aspects and Burden of Disease ,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
136,137,EH6141,Psychosocial Epidemiology ,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
137,138,EH6142,Assessment and Management of Psychosocial Risks ,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
138,139,EH6096,Principles and Practice of Multi-Disciplinary Health Protection  ,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
139,140,EH6110,Risk Assessment and Implementation of Health and Safety Management Programmes ,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
140,141,LW6109,"Occupational Health, Safety and Welfare Law            ",University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
141,142,EH6109,Occupational Health and Safety Management in the Workplace ,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
142,143,EH6093,Introduction to Research Methods and Epidemiology ,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
143,144,EH6097,Introduction to Social Research in Public Health Online,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
144,145,EH6108,Management of Psychosocial Workplace Risks:  Theory and Practice Online,University College Cork,School of Public Health,Yes,,UCC,Healthcare / Medical / Nursing,9,University
145,146,CPD1621, An Introduction to Clinical Pastoral Education for Healthcare Professionals ,University College Cork,School of Nursing and Midwifery,No,,UCC,Healthcare / Medical / Nursing,9,University
146,147,CPD1702, Adult IV Cannulation and Administration Course for Radiographers and Radiation Therapists ,University College Cork,School of Nursing and Midwifery,No,,UCC,Healthcare / Medical / Nursing,9,University
147,148,CPD1602," Interdisciplinary Perspectives on Social Justice, Equality, Diversity and Health",University College Cork,School of Nursing and Midwifery,No,,UCC,Healthcare / Medical / Nursing,9,University
148,149,CPD1739, Maximising Impact with Rehabilitation,University College Cork,School of Nursing and Midwifery,No,,UCC,Healthcare / Medical / Nursing,9,University
149,150,IT6104,Teaching of Italian as a Second Language 1,University College Cork,"College of Arts, Celtic Studies, Social Sciences",Yes,,UCC,Education / Training,6,University
150,151,IT6105,Teaching of Italian as a Second Language 2,University College Cork,"College of Arts, Celtic Studies, Social Sciences",Yes,,UCC,Education / Training,6,University
151,152,CPD1617,Practice Teacher (Social Work) 2 Day Training,University College Cork,"College of Arts, Celtic Studies, Social Sciences",No,,UCC,Education / Training,6,University
152,153,CPD1682, An Ghaeilge sa Seomra Ranga,University College Cork,"College of Arts, Celtic Studies, Social Sciences",No,,UCC,Education / Training,6,University
153,154,CPD1694,Presentations & Public Speaking Skills for Medical Social Workers,University College Cork,"College of Arts, Celtic Studies, Social Sciences",No,,UCC,Healthcare / Medical / Nursing,9,University
154,155,CPD1607,Social Media and Students: Challenges for Teachers ,University College Cork,Applied Psychology,No,,UCC,Online /Digital Media,17,University
155,156,CPD1607,Social Media and Children: Challenges for Professionals   ,University College Cork,Applied Psychology,No,,UCC,Online /Digital Media,17,University
156,157,CPD1731,Global Sustainable Development: Interdisciplinary Perspectives,University College Cork,Applied Social Studies,No,,UCC,Pharmaceutical / Science / Agriculture,18,University
157,158,CPD1617,Practice Teachers - Social Work,University College Cork,Applied Social Studies,No,,UCC,Education / Training,6,University
158,159,CPD1682, An Ghaeilge sa Seomra Ranga,University College Cork,Irish,No,,UCC,Education / Training,6,University
159,160,CC6008,Palaeography and Manuscript-based Research (10 Credits),University College Cork,Palaeography and Manuscript-based Research,Yes,,UCC,Academic,1,University
160,161,CPD1607,Social Media and Students: Challenges for Teachers,University College Cork,School of Education,No,,UCC,Online /Digital Media,17,University
161,162,CPD1607,Social Media and Children: Challenges for Professionals,University College Cork,School of Education,No,,UCC,Online /Digital Media,17,University
162,163,IT6104,Teaching of Italian as a second language I     ,University College Cork,"School of Languages, Literatures and Cultures",Yes,,UCC,Education / Training,6,University
163,164,IT6105,Teaching of Italian as a second language II   ,University College Cork,"School of Languages, Literatures and Cultures",Yes,,UCC,Education / Training,6,University
164,165,CPD1626,Spanish Beginners Intensive A2,University College Cork,"School of Languages, Literatures and Cultures",No,,UCC,Multi-lingual,16,University
165,166,CPD1665,International Conference on Ecocosmology and Sustainability,University College Cork,"Philosophy, Sociology, Criminology, Government and Politics",No,,UCC,Pharmaceutical / Science / Agriculture,18,University
166,167,CPD1604, Procurement Workshop: Spend Analysis,University College Cork,College of Business & Law,No,,UCC,Legal,12,University
167,168,CPD1614,Reading for Transformation Book Circle,University College Cork,College of Business & Law,No,,UCC,Legal,12,University
168,169,CPD1616,International Children's Rights,University College Cork,Business and Law,No,,UCC,Legal,12,University
169,170,CPD1616,International Children's Rights,University College Cork,Business and Law,No,,UCC,Legal,12,University
170,171,CPD1603,Law of Ship Finance,University College Cork,Business and Law,No,,UCC,Financial Services,8,University
171,172,CPD1773,Food Industry Lean Green Belt Training.,University College Cork,"College of Science, Engineering & Food Science",No,,UCC,Pharmaceutical / Science / Agriculture,18,University
172,173,GL6024,Applied Geophysics ,University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
173,174,GL6025,Geoinformatics for Environmental Geology ,University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
174,175,CPD1740,Geology for Leaving Certificate Geography Teachers,University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
175,176,EV6012,Freshwater Monitoring Programme Design ,University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
176,177,EV6013,Quality Assurance for Freshwater Quality Monitoring   ,University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
177,178,EV6014,"Data Handling, Assessment and Presentation for Freshwater Quality Monitoring  ",University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Big Data / Business Analysis,4,University
178,179,EV6015,Water Quality Monitoring and Assessment in Rivers/Lakes/Reservoirs  ,University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
179,180,EV6016,Water Quality Monitoring and Assessment of Groundwater  ,University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
180,181,EV6017,Freshwater Quality Monitoring with Biota and Particulate Matter  ,University College Cork,"College of Science, Engineering & Food Science",Yes,,UCC,Pharmaceutical / Science / Agriculture,18,University
181,182,CPD004,Field Skills for Freshwater Quality Monitoring,University College Cork,"College of Science, Engineering & Food Science",No,,UCC,Pharmaceutical / Science / Agriculture,18,University
182,183,CPD1687,Enhancing Student Learning Through Professionalising Digital Education,University College Cork,"Centre for Integration of Research, Teaching and Learning",No,,UCC,Academic,1,University
183,184,CPD1608,Summer School for Visiting Lecturers,University College Cork,"Centre for Integration of Research, Teaching and Learning",No,,UCC,Academic,1,University
184,185,CPD1731,Global Sustainable Development,University College Cork,General Interest,No,,UCC,Pharmaceutical / Science / Agriculture,18,University
185,186,CPD1602,"Interdisciplinary Perspectives on Social Justice, Equality, Diversity and Health",University College Cork,General Interest,No,,UCC,Healthcare / Medical / Nursing,9,University
186,187,CPD1640,Sustainability,University College Cork,General Interest,No,,UCC,Pharmaceutical / Science / Agriculture,18,University
187,188,CPD1614, Reading for Transformation Book Circle,University College Cork,General Interest,No,,UCC,Academic,1,University
188,189,CPD1680, Symposium on Gender Equality and Intersectionality,University College Cork,General Interest,No,,UCC,HR / Recruitment,10,University
189,190,CPD1678,Research Skills Training Programme,University College Cork,Research,No,,UCC,Academic,1,University
190,191,PHAR S8019 , (Bio)Pharmaceutical Manufacturing and Supply Chain Management ,Dundalk Institute of Technology,Science,Yes,,DKIT,Warehouse / Logistics / Shipping,21,IoT
191,192,No ID Found,Bioinformatics in Agriculture,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
192,193,CULN B8001 , Culinary Business Development ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Marketing /Market Research,15,IoT
193,194,69885, Introduction to Vision and Sound ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
194,195,ARTS B8001 , Performance Studies Theory and Practice ,Dundalk Institute of Technology,Humanities and Arts,Yes,,DKIT,Architecture / Design,3,IoT
195,196,ARTS H7023 , Pre Twentieth Century Theatre and Practice,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
196,197,RESA B7008 , Research and Communication Skills in Youth Work ,Dundalk Institute of Technology,Social work and counselling,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
197,198,COMP C8089 , 2D and 3D Character Animation ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
198,199,COMP C8035 , 2D Game Engine Development ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
199,200,COMP C8074 , 360 Digital Video Techniques and VFX Compositing ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
200,201,COMP C8096 ," 360 Video Editing, Compositing and Visual Effects ",Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
201,202,COMP C9031 , 3D Animation and Game Engine Pipeline ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
202,203,COMP I8015 , 3D Game Development ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
203,204,COMP I8014 , 3D Game Engine Development ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
204,205,COMP I8012 , 3D Modelling and Animation ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
205,206,COMP C8087 , 3D Modelling and Animation ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
206,207,CULN B7Z04 , Academic and Career Skills ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Academic,1,IoT
207,208,MUSC U8150 , Academic Writing and Research Skills ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
208,209,SNDT M9001 , Acoustics and Psychoacoustics ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
209,210,SOCC H8033 , Addiction and Social Care ,Dundalk Institute of Technology,Social work and counselling,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
210,211,MEDA C8038 ," Adv Cinematography, Audio and Post (year long) ",Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
211,212,COMP C9037 , Advanced 3D Animation and Game Engine Pipeline ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
212,213,COMP C8052 , Advanced Computer Animation Theory and Practice ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
213,214,ACCT B9001 , Advanced Corporate Reporting and Accoun ,Dundalk Institute of Technology,Accounting and taxation,Yes,,DKIT,Accountancy / Finance,2,IoT
214,215,ARTS C7022 , Advanced Dance and Movement ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
215,216,57226, Advanced Data Analytics in Practice ,Dundalk Institute of Technology,Business & Administration,Yes,,DKIT,Big Data / Business Analysis,4,IoT
216,217,MUSC U8178 , Advanced Musicianship: Aural and Keyboard ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
217,218,MEDA C8043 , Advanced TV Studio Operations ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
218,219,MEDA C8042 , Advanced Visual Effects for Film and Television ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
219,220,AGRI S7015 , Ag Entrepreneurship and Diversification ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
220,221,AGRI S7008 , Agri Food Entrepreneurship and Innovation,Dundalk Institute of Technology,Food processing,Yes,,DKIT,Manufacturing / Engineering,14,IoT
221,222,AGRIS8020 , Agri Food Product Innovation,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
222,223,AGRI S7013 , Agricultural Biochemistry and Nutrition ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
223,224,AGRI S8Z13 , Agricultural Mechanisation and Precision Farming ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
224,225,AGRI S8014 , Agricultural Policy and Professional Practice ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
225,226,AGRI S7019 , Agriculture and Climate Change ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
226,227,ENVR S7003 , Agriculture in the Environment ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
227,228,DATA I8Z01 , Algorithms and Data Structures ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
228,229,CULT H8033 , American Literature ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Academic,1,IoT
229,230,CULT H8030 , An Introduction to Spain and Latin America ,Dundalk Institute of Technology,Humanities and Arts,Yes,,DKIT,Architecture / Design,3,IoT
230,231,VETS S7004 , Anaesthesia and Analgesia ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
231,232,ANPS S7001 , Anatomy and Physiology 1 ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
232,233,ANPS N8011 , Anatomy and Physiology 1 ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
233,234,ANPS S7002 , Anatomy and Physiology 2 ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
234,235,ANPS N8012 , Anatomy and Physiology 2 ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
235,236,AGRI S8Z08 , Animal and Crop Science ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
236,237,ANMS S7006 , Animal Husbandry ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
237,238,ANMS S7005 , Animal Welfare and Husbandry ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
238,239,No ID Found,Application of Professional Management of Complex Behaviours in Care Contexts,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
239,240,MUSC M9001 , Applications of Technology in Music Education and Community Music ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
240,241,MUSC M8075 , Applied Acoustics and Applied Maths ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
241,242,EDUC N8078 , Applied Law and Regulation in Early Childhood ,Dundalk Institute of Technology,Law,Yes,,DKIT,Legal,12,IoT
242,243,SPOR H8010 , Applied Metabolism and Obesity Management ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
243,244,MUSC U8175 , Applied Musicianship: Aural and Keyboard ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
244,245,NURS N8247 , Applied Physiology and Introduction to Pharmacology ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
245,246,PROF N7001 , Applied Professional Practice 1 ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
246,247,PROF N7002 , Applied Professional Practice 2 ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
247,248,PROF N7003 , Applied Professional Practice 3 ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
248,249,SWRD I8Z01 , Applied Software Development Principles ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
249,250,No ID Found,Applied Technologies in Crop and Grass Production,Dundalk Institute of Technology,Agriculture,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
250,251,MRKT S7003 , Applied Writing and Research Skills ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
251,252,CULT H8022 , Archaeological Techniques ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Academic,1,IoT
252,253,EDUC U9006 , Assessment and Feedback ,Dundalk Institute of Technology,School of Education,Yes,,DKIT,Education / Training,6,IoT
253,254,NURS N8194 , Assessment and Management of the Acutely Ill Adult within the Acute Medicine Unit ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
254,255,NURS N8255 , Assessment and Management of the Acutely Ill Patient ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
255,256,ENGR E7055 , Automation and Control ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Manufacturing / Engineering,14,IoT
256,257,CULN H6Z01 , Bar Operations ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Managers / Supervisors,13,IoT
257,258,AGRI S8Z28 , Beef and Sheep Production ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
258,259,AGRI S8Z21 , Biochemistry and Animal Nutrition ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
259,260,AGRIS9Z03 , Bioinformatics ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
260,261,AGRI S8Z19 , Biological and Chemical Sciences ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
261,262,BIOL S8Z01 , Biology ,Dundalk Institute of Technology,Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
262,263,AGRI S7009 , Biology and Chemistry in Agriculture ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
263,264,PHAR S8013 , Biomolecular Therapeutics and Bioinformatics ,Dundalk Institute of Technology,Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
264,265,CULT H8029 , Borders in Literature ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Academic,1,IoT
265,266,CULT H0023 ," Borders, Borderlands and Contested States ",Dundalk Institute of Technology,Humanities,Yes,,DKIT,Academic,1,IoT
266,267,MEDA I8006 , Branding & Packaging ,Dundalk Institute of Technology,Design,Yes,,DKIT,Architecture / Design,3,IoT
267,268,MRKT B7022 , Branding and Customer Relationship Management ,Dundalk Institute of Technology,Marketing and advertising,Yes,,DKIT,Marketing /Market Research,15,IoT
268,269,MMED M7007 , Branding and Editorial Design Fundamentals ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
269,270,BUSS B8031 , Branding Strategy ,Dundalk Institute of Technology,Marketing and advertising,Yes,,DKIT,Marketing /Market Research,15,IoT
270,271,NETW C7024 , Broadband Technologies ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
271,272,ENGR E6021 , Building Regulations and Control ,Dundalk Institute of Technology,Building and civil engineering,Yes,,DKIT,Construction / Engineering,5,IoT
272,273,BDLU E8001 , Building Services 1 ,Dundalk Institute of Technology,Building and civil engineering,Yes,,DKIT,Construction / Engineering,5,IoT
273,274,HLST N8162 , Business and Management in the Early Years Sector ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
274,275,57123, Business Communications and Academic Writing ,Dundalk Institute of Technology,"Travel, tourism and leisure",Yes,,DKIT,Academic,1,IoT
275,276,BUSSB8035 , Business Ethics And Corporate Citizenship ,Dundalk Institute of Technology,Business & Administration,Yes,,DKIT,Secreterial / Admin / PA,20,IoT
276,277,BUSS B8Z04 , Business Ethics and Corporate Citizenship ,Dundalk Institute of Technology,Management and administration,Yes,,DKIT,Legal,12,IoT
277,278,MGMT B8Z12 , Business Management & Strategy ,Dundalk Institute of Technology,Management and administration,Yes,,DKIT,Managers / Supervisors,13,IoT
278,279,57124, Business Maths and Accounting Fundamentals ,Dundalk Institute of Technology,"Travel, tourism and leisure",Yes,,DKIT,Accountancy / Finance,2,IoT
279,280,DATA B9001 , Business Strategy and Analysis ,Dundalk Institute of Technology,Accounting and taxation,Yes,,DKIT,Accountancy / Finance,2,IoT
280,281,CADM E7008 , CAD and Computer Applications ,Dundalk Institute of Technology,Building and civil engineering,Yes,,DKIT,Construction / Engineering,5,IoT
281,282,COMP E8002 , CAD and Computers ,Dundalk Institute of Technology,Building and civil engineering,Yes,,DKIT,Construction / Engineering,5,IoT
282,283,57083, Canine and Feline Shelter Medicine ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
